Model Name,MACs,Parameters,Latency (seconds)
moon4sake/Qwen2.5-Math-1.5B_s0.75_channel,24.71 GMac,385.91 M,127.78941988945007
moon4sake/DeepSeek-R1-Distill-Qwen-1.5B_s0.75_channel,24.71 GMac,444.26 M,124.884770154953
moon4sake/Qwen2.5-Math-1.5B_s0.50_channel,49.41 GMac,771.83 M,123.66198015213013
moon4sake/DeepSeek-R1-Distill-Qwen-1.5B_s0.25_channel,74.11 GMac,1332.77 M,124.68905305862427
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,98.81 GMac,1777.09 M,151.00157499313354
moon4sake/DeepSeek-R1-Distill-Qwen-1.5B_s0.10_channel,88.9 GMac,1598.86 M,167.48329281806946
moon4sake/DeepSeek-R1-Distill-Qwen-1.5B_s0.50_channel,49.41 GMac,888.52 M,153.62316155433655
moon4sake/Qwen2.5-Math-1.5B_s0.10_channel,88.9 GMac,1388.89 M,133.5291440486908
Qwen/Qwen2.5-Math-1.5B,98.81 GMac,1543.71 M,125.56464743614197
moon4sake/Qwen2.5-Math-1.5B_s0.25_channel,74.11 GMac,1157.74 M,123.51952505111694
